,vendor_name,img,name,carbohydrates,fats,proteins,calories
65,4061372,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/cc/83/c31919596596b46056bc0b8af0e2.jpg,"Мини-хлебцы ФрутоНяня рисовые яблоко-клубника-банан с 12 месяцев, 30г",81.0,0.7,5.6,354.0
66,4061371,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/ac/3b/d7309a6a8afca1008c3a8917347c.jpg,"Мини-хлебцы ФрутоНяня рисовые яблоко с 12 месяцев, 30г",81.0,0.7,5.6,354.0
67,4263824,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/f7/c8/014c22f5c84020aa7a56320d6a09.jpg,"Хлебцы из семян льна с томатом и базиликом Зелёная Линия, 60г",7.9,37.8,17.6,442.0
68,4263823,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/98/8f/daebfcc7f2e7f67ea314a4efcfbf.jpg,"Хлебцы с чесноком Зелёная Линия, 60г",5.7,41.7,18.3,470.0
69,3936761,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/d0/9d/a5c65642cb12c4d9565e0463fcc1.jpg,"Хлебцы Vegan Food Морковные ржаные на закваске хрустящие, 100г",57.9,18.4,13.8,421.0
70,3501221,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/f4/a8/06cf4619dcd904acbd50bdd95d02.jpg,"Макароны рожки группа А высший сорт Маркет Перекрёсток, 400г",71.0,1.0,10.5,340.0
71,4117157,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/5a/4b/8cb9aac10fabcff58dd90fd3286b.jpg,"Фузилли из твёрдых сортов пшеницы Market Collection, 450г",69.0,1.2,14.5,340.0
72,3501219,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/0b/fe/3bebe7da009a696c6eae21d2d61c.jpg,"Макароны спираль группа А высший сорт Маркет Перекрёсток, 400г",71.0,1.0,10.5,340.0
73,4117174,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/f4/47/cf316689df01df2a6382140b7206.jpg,"Спагетти из твёрдых сортов пшеницы Market Collection, 450г",69.0,1.2,14.5,340.0
74,3501223,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/e9/69/6f43f2b8266472346da8dc677ea9.jpg,"Спагетти группа А высший сорт Маркет Перекрёсток, 400г",71.0,1.0,10.5,340.0
75,3642040,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/92/48/ea715263e4d85edd231bfe8ed179.jpg,"Масло подсолнечное рафинированное дезодорированное 1 сорт Пр!ст, 900мл",0.0,99.9,0.0,899.0
76,3501258,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/74/9c/a9d1e5cec3375a096883e45f52b8.jpg,"Масло оливковое Extra Virgin нерафинированное Маркет Перекрёсток, 250мл",0.0,100.0,0.0,900.0
77,4225638,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/68/57/44eceb39f80b8695fa35ae53cbf7.jpg,"Масло льняное нерафинированное Зелёная Линия, 250мл",,100.0,,900.0
78,3660319,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/0f/5a/610b2ffc7ab305d3340400bdxdd1.jpg,"Масло оливковое Olive-Pomace Oil рафинированное + нерафинированное Маркет Перекрёсток, 500мл",0.0,100.0,0.0,900.0
79,3501259,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/47/84/a78d50827f3735c8f84d72414637.jpg,"Масло оливковое Extra Virgin нерафинированное Маркет Перекрёсток, 500мл",0.0,100.0,0.0,900.0
80,3469126,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/b2/61/da16a2379dbaaf66dbc7bd1fec33.jpg,"Рис длиннозёрный Маркет Перекрёсток, 900г",77.0,0.4,7.0,340.0
81,3477255,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/01/00/6e9df5eee2b79854d8f7b922aa83.jpg,"Гречка ядрица пропаренная Маркет Перекрёсток, 900г",68.0,3.0,13.0,350.0
82,4151853,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/36/69/f3374566031e55af5b8d8458298c.jpg,"Гречка зелёная ядрица 1 сорт Зелёная Линия, 400г",72.0,3.5,13.0,370.0
83,4151856,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/4a/32/3536c3b9f75b05cb1b427ab1e578.jpg,"Кускус Зелёная Линия, 350г",77.0,0.5,13.0,370.0
84,4151854,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/76/7a/997ef2c217143e01c31c8efd8efb.jpg,"Киноа белая Зелёная Линия, 350г",52.0,6.0,14.0,320.0
85,4151858,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/bd/9c/5e04c169b9c9d6fb5613c31d8a31.jpg,"Нут Зелёная Линия, 350г",61.0,6.0,19.0,370.0
86,3422637,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/fc/79/5026089f6afc7015b5708ab546fb.jpg,"Нут Мистраль Турецкий горох, 450г",62.6,9.4,18.2,385.0
87,4130484,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/da/cc/244b190e115370bba367ceaa8e59.jpg,"Нут Мистраль для хумуса и восточной кухни, 450 г",62.6,9.4,18.2,385.0
88,3455459,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/af/29/4cbbddb487c49abe70ee532cd108.jpg,"Нут Националь, 450г",73.0,2.0,8.0,340.0
